Respondent,MainBranch,Hobbyist,Age,Age1stCode,CompFreq,CompTotal,ConvertedComp,Country,CurrencyDesc,CurrencySymbol,DatabaseDesireNextYear,DatabaseWorkedWith,DevType,EdLevel,Employment,Ethnicity,Gender,JobFactors,JobSat,JobSeek,LanguageDesireNextYear,LanguageWorkedWith,MiscTechDesireNextYear,MiscTechWorkedWith,NEWCollabToolsDesireNextYear,NEWCollabToolsWorkedWith,NEWDevOps,NEWDevOpsImpt,NEWEdImpt,NEWJobHunt,NEWJobHuntResearch,NEWLearn,NEWOffTopic,NEWOnboardGood,NEWOtherComms,NEWOvertime,NEWPurchaseResearch,NEWPurpleLink,NEWSOSites,NEWStuck,OpSys,OrgSize,PlatformDesireNextYear,PlatformWorkedWith,PurchaseWhat,Sexuality,SOAccount,SOComm,SOPartFreq,SOVisitFreq,SurveyEase,SurveyLength,Trans,UndergradMajor,WebframeDesireNextYear,WebframeWorkedWith,WelcomeChange,WorkWeekHrs,YearsCode,YearsCodePro
50360,I am a developer by profession,Yes,,18,,,,Ethiopia,,,MongoDB;MySQL,Firebase;Microsoft SQL Server;Oracle;PostgreSQL;Redis;SQLite,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Student,,,Industry that I’d be working in;How widely used or impactful my work output would be;Office environment or company culture,,I am actively looking for a job,Bash/Shell/PowerShell;C++;Dart;Go;HTML/CSS;Java;JavaScript;Python;R;SQL;TypeScript,C;C#,,Node.js;React Native,,Github;Gitlab;Slack;Microsoft Teams;Trello,,,,Curious about other opportunities;Better compensation;Better work/life balance;Wanting to work with new technologies;Looking to relocate,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Read other media like news articles, founder profiles, etc. about the company",Once a year,No,,Yes,,Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Visit Stack Overflow;Do other work and come back later,MacOS,,AWS;IBM Cloud or Watson;Microsoft Azure,Android;Docker;Google Cloud Platform;Heroku;iOS;Linux;MacOS;WordPress,,,Yes,"Yes, somewhat",A few times per month or weekly,Multiple times per day,Neither easy nor difficult,Appropriate in length,,"Computer science, computer engineering, or software engineering",,Angular;Angular.js;Express;jQuery;React.js;Vue.js,A lot more welcome now than last year,,5,
50585,I am a student who is learning to code,No,21.0,18,,,,Ethiopia,,,MongoDB,MongoDB;MySQL,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Student,,Man,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Opportunities for professional development",,I am actively looking for a job,JavaScript,C;C++;HTML/CSS;JavaScript;PHP;SQL,Node.js;React Native,,Github;Gitlab,Facebook Workplace,,,,,,,,,Yes,,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,,Stack Overflow (public Q&A for anyone who codes),,Windows,,,Windows,,,Yes,"Yes, somewhat",I have never participated in Q&A on Stack Overflow,Daily or almost daily,Neither easy nor difficult,Too long,,,Express;React.js;Vue.js,ASP.NET,,,3,
55481,I am a developer by profession,Yes,24.0,19,Monthly,10000.0,3756.0,Ethiopia,Ethiopian birr,ETB,MariaDB;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;SQLite,MySQL;Oracle;SQLite,"Developer, back-end;Developer, front-end;Educator;System administrator","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Black or of African descent,Man,"Languages, frameworks, and other technologies I’d be working with;Financial performance or funding status of the company or organization;Opportunities for professional development",Neither satisfied nor dissatisfied,I am actively looking for a job,C#;C++;Dart;HTML/CSS;Java;JavaScript;Perl;PHP;Python;Ruby;Rust;SQL,C++;HTML/CSS;Java;JavaScript;PHP;Python;SQL,.NET;Apache Spark;Flutter;Node.js;React Native;Unity 3D,Apache Spark,Github;Stack Overflow for Teams,Github;Stack Overflow for Teams,Not sure,Somewhat important,Critically important,Better work/life balance,"Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Personal network - friends or family;Directly asking current or past employees at the company",Once a year,No,Yes,No,Sometimes: 1-2 days per month but less than weekly,,Annoyed,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Visit Stack Overflow;Watch help / tutorial videos,Windows,100 to 499 employees,Android;Google Cloud Platform;iOS;Linux;MacOS;WordPress,Windows;WordPress,I have little or no influence,,Yes,Neutral,Less than once per month or monthly,Daily or almost daily,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Angular;Angular.js;ASP.NET;ASP.NET Core;Django;Flask;jQuery;React.js;Ruby on Rails;Spring,jQuery;Laravel,Just as welcome now as I felt last year,48.0,5,1
55498,I am a developer by profession,No,19.0,16,Monthly,30000.0,11256.0,Ethiopia,Ethiopian birr,ETB,MongoDB,MySQL,"Developer, back-end;Developer, full-stack",Some college/university study without earning a degree,"Independent contractor, freelancer, or self-employed",Black or of African descent,Man,Diversity of the company or organization;Flex time or a flexible schedule;Family friendliness,Very satisfied,I am not interested in new job opportunities,Python,HTML/CSS;JavaScript;PHP,Flutter;Pandas;TensorFlow;Torch/PyTorch,,Jira;Stack Overflow for Teams,Github;Slack;Trello,No,Somewhat important,Not at all important/not necessary,Curious about other opportunities;Wanting to work with new technologies,"Read other media like news articles, founder profiles, etc. about the company;Directly asking current or past employees at the company",Once a year,No,Yes,No,Sometimes: 1-2 days per month but less than weekly,Start a free trial,Indifferent,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Visit Stack Overflow,Windows,2 to 9 employees,AWS,Windows,,Straight / Heterosexual,Yes,"Yes, somewhat",A few times per month or weekly,A few times per month or weekly,Neither easy nor difficult,Too long,No,Web development or web design,Django,Angular;jQuery;Laravel;Symfony;Vue.js,Somewhat more welcome now than last year,70.0,4,1
55499,"I am not primarily a developer, but I write code sometimes as part of my work",Yes,26.0,13,Monthly,8300.0,3120.0,Ethiopia,Ethiopian birr,ETB,Firebase;SQLite,Firebase;MySQL;SQLite,"Data or business analyst;Developer, back-end;Developer, embedded applications or devices;Developer, front-end;Developer, full-stack;Developer, mobile","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Black or of African descent,Man,Remote work options;Office environment or company culture;Opportunities for professional development,Very dissatisfied,"I’m not actively looking, but I am open to new opportunities",Dart;HTML/CSS;Java;Kotlin;PHP;Python;SQL,Assembly;Bash/Shell/PowerShell;C;C++;HTML/CSS;Java;JavaScript;Kotlin;Perl;PHP;Python;SQL,Flutter;TensorFlow,,Github;Slack,Github;Slack,Not sure,Somewhat important,Fairly important,Curious about other opportunities;Better compensation;Better work/life balance;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company;Directly asking current or past employees at the company",Once a year,Not sure,Onboarding? What onboarding?,No,Never,,Annoyed,Stack Overflow (public Q&A for anyone who codes),Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later,Windows,"5,000 to 9,999 employees",Android;Windows,Android;Arduino;Linux;Windows,I have little or no influence,Straight / Heterosexual,Yes,Neutral,I have never participated in Q&A on Stack Overflow,A few times per week,Easy,Appropriate in length,No,"Another engineering discipline (such as civil, electrical, mechanical, etc.)",Angular;Angular.js,,Just as welcome now as I felt last year,40.0,12,2
55682,I am a student who is learning to code,Yes,24.0,19,,,,Ethiopia,,,Microsoft SQL Server;MySQL;Oracle,Microsoft SQL Server;MySQL;Oracle,"Database administrator;Designer;Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Educator;Scientist;System administrator","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Not employed, but looking for work",Black or of African descent,Man,Industry that I’d be working in;Flex time or a flexible schedule;Opportunities for professional development,,I am actively looking for a job,Assembly;C;C#;HTML/CSS;Java;JavaScript;Perl;PHP;Python;SQL,C;C++;HTML/CSS;Java;JavaScript;PHP;SQL,.NET;.NET Core;Apache Spark,,"Jira;Microsoft Teams;Google Suite (Docs, Meet, etc);Stack Overflow for Teams",,,,,,,Every few months,,,No,,Start a free trial,Indifferent,I have never visited any of these sites,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos,Windows,,Android;Linux;Windows,,,,,,,,Easy,Appropriate in length,,"Computer science, computer engineering, or software engineering",ASP.NET;Laravel,Angular.js,,,4,
57164,I am a student who is learning to code,Yes,,19,,,,Ethiopia,,,,MySQL;Oracle;PostgreSQL,System administrator,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Black or of African descent,Man,Remote work options;Financial performance or funding status of the company or organization;Opportunities for professional development,,"I’m not actively looking, but I am open to new opportunities",Python,C++;HTML/CSS;Java;JavaScript;PHP;SQL,,.NET;Node.js,,Stack Overflow for Teams,,,,,,Once a year,,,No,,Start a free trial,Amused,I have never visited any of these sites,Play games;Watch help / tutorial videos;Do other work and come back later,Windows,,,WordPress,,,,,,,Easy,Too long,,"Computer science, computer engineering, or software engineering",Laravel,Angular;Angular.js;Laravel,,,4,
57519,"I used to be a developer by profession, but no longer am",Yes,25.0,19,,,,Ethiopia,,,,MySQL;Oracle,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Black or of African descent,Man,,,,,C#;Java,.NET Core,.NET,Github,,,,Very important,,,Every few months,,,No,,Start a free trial;Visit developer communities like Stack Overflow,"Hello, old friend",Stack Overflow Jobs (for job seekers),Visit Stack Overflow;Visit another developer community (please name):,Windows,,,Android;Linux,,,,,,,Neither easy nor difficult,Appropriate in length,No,"Information systems, information technology, or system administration",ASP.NET Core,,,,5,2
58053,I code primarily as a hobby,Yes,22.0,5,,,,Ethiopia,,,Couchbase;Firebase;MongoDB,Elasticsearch,,"Associate degree (A.A., A.S., etc.)",Student,Black or of African descent,Man,,,,C++;Java,Python,Chef,.NET,Facebook Workplace;Slack,Facebook Workplace,,,,,,Once every few years,,,No,,Ask developers I know/work with;Visit developer communities like Stack Overflow,Annoyed,Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers);Stack Overflow for Teams (private Q&A for organizations),Visit Stack Overflow;Visit another developer community (please name):,Windows,,Microsoft Azure;Slack Apps and Integrations,Windows,,Bisexual,,,,,Easy,Too short,Yes,"Computer science, computer engineering, or software engineering",Flask,Django,,,Less than 1 year,
58091,I am a developer by profession,No,,26,,,,Ethiopia,,,,,,I never completed any formal education,"Not employed, and not looking for work",,,,,,,Assembly;Bash/Shell/PowerShell;C;C#;C++;Haskell;HTML/CSS;Java;JavaScript;PHP;TypeScript,,.NET;.NET Core,"Google Suite (Docs, Meet, etc);Stack Overflow for Teams","Google Suite (Docs, Meet, etc);Stack Overflow for Teams",,,,,,,,,No,,,Annoyed,Stack Exchange (public Q&A for a variety of topics);Stack Overflow for Teams (private Q&A for organizations);Stack Overflow Talent (for hiring companies/recruiters);Stack Overflow Advertising (for technology companies),,Linux-based,,,Android;Google Cloud Platform;iOS;Linux;MacOS;Windows;WordPress,,,,,,,Difficult,Too long,,,,Angular.js;ASP.NET,,,15,
58339,I am a developer by profession,Yes,,25,Monthly,901340659.0,1000000.0,Ethiopia,Ethiopian birr,ETB,,,,I never completed any formal education,,,Man,"Languages, frameworks, and other technologies I’d be working with;Specific department or team I’d be working on;Family friendliness",Very satisfied,"I’m not actively looking, but I am open to new opportunities",,,TensorFlow,React Native,"Github;Facebook Workplace;Google Suite (Docs, Meet, etc);Stack Overflow for Teams","Github;Facebook Workplace;Google Suite (Docs, Meet, etc);Stack Overflow for Teams",Yes,Extremely important,,Looking to relocate,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company;Directly asking current or past employees at the company",Every few months,,Yes,Yes,Occasionally: 1-2 days per quarter but less than monthly,Start a free trial,Annoyed,Stack Overflow Advertising (for technology companies),Watch help / tutorial videos,Windows,"10,000 or more employees",Android;iOS;Linux;MacOS;Windows,Android;iOS;Linux;MacOS;Windows,I have a great deal of influence,,,,,,Easy,Appropriate in length,,,,,,,25,25
58507,I am a developer by profession,Yes,,5,Weekly,,,Ethiopia,Australian dollar,AUD,Cassandra,MongoDB,,Some college/university study without earning a degree,Employed full-time,Black or of African descent,Man,Industry that I’d be working in,Very satisfied,I am actively looking for a job,,Assembly;C++,,.NET Core;Unity 3D;Xamarin,,Github;Microsoft Teams;Microsoft Azure,Yes,Neutral,Very important,Just because;Better work/life balance,,Every few months,Yes,Yes,Yes,Rarely: 1-2 days per year or less,Start a free trial;Research companies that have advertised on sites I visit,Annoyed,Stack Overflow (public Q&A for anyone who codes);Stack Overflow Talent (for hiring companies/recruiters);Stack Overflow Advertising (for technology companies),Play games;Call a coworker or friend;Go for a walk or other physical activity,Windows,"1,000 to 4,999 employees",IBM Cloud or Watson,Google Cloud Platform;Heroku,I have a great deal of influence,Queer,Yes,Not sure,Daily or almost daily,A few times per month or weekly,Neither easy nor difficult,Too long,Yes,"Computer science, computer engineering, or software engineering",,Django,A lot less welcome now than last year,,2,1
59966,I am a developer by profession,Yes,28.0,28,Monthly,32100.0,12048.0,Ethiopia,Ethiopian birr,ETB,MariaDB;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL,MariaDB;Microsoft SQL Server;MySQL;Oracle;PostgreSQL,"Developer, front-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed part-time,Black or of African descent,Man,Diversity of the company or organization;Office environment or company culture;Opportunities for professional development,Very satisfied,"I’m not actively looking, but I am open to new opportunities",C;C++;HTML/CSS;Java;JavaScript;PHP;Python;SQL,C;C++;HTML/CSS;Java;JavaScript;PHP;SQL,.NET;Node.js,.NET,Github;Gitlab;Slack;Microsoft Azure;Stack Overflow for Teams,Github;Gitlab;Slack;Stack Overflow for Teams,Yes,Extremely important,Very important,Wanting to share accomplishments with a wider network;Curious about other opportunities;Better compensation;Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company;Directly asking current or past employees at the company",Once a year,Not sure,Yes,No,Often: 1-2 days per week or more,Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd;Research companies that have advertised on sites I visit,Annoyed,Stack Overflow (public Q&A for anyone who codes),Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,Linux-based,20 to 99 employees,Docker;Linux;Microsoft Azure;Slack Apps and Integrations;Windows;WordPress,Linux;Slack Apps and Integrations;Windows;WordPress,I have a great deal of influence,Straight / Heterosexual,Yes,"Yes, definitely",A few times per month or weekly,Multiple times per day,Neither easy nor difficult,Appropriate in length,No,"Information systems, information technology, or system administration",Angular.js;Drupal;Laravel;React.js;Vue.js,Drupal;Laravel;Vue.js,A lot more welcome now than last year,13.0,5,1
60986,I am a student who is learning to code,Yes,32.0,18,,,,Ethiopia,,,Microsoft SQL Server;MySQL;PostgreSQL;SQLite,Microsoft SQL Server;MySQL,Academic researcher;Database administrator,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Black or of African descent,Man,Remote work options;Office environment or company culture;Opportunities for professional development,,I am actively looking for a job,JavaScript;Python;SQL;VBA,C++;Java;JavaScript;Python;SQL;VBA,.NET;Keras;TensorFlow,.NET;TensorFlow,"Github;Gitlab;Google Suite (Docs, Meet, etc);Stack Overflow for Teams","Github;Google Suite (Docs, Meet, etc);Stack Overflow for Teams",,,,,,Once every few years,Yes,,No,,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,Annoyed,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later,Windows,,Windows,Android;Windows,,Bisexual,Yes,"Yes, somewhat",Less than once per month or monthly,Daily or almost daily,Easy,Too long,No,"Computer science, computer engineering, or software engineering",Django,ASP.NET,Just as welcome now as I felt last year,,10,
61362,I am a student who is learning to code,Yes,,,,,,Ethiopia,,,MongoDB,,,,Student,,,,,,Assembly;C;C#;C++;Dart;HTML/CSS;Java;JavaScript;Objective-C;Perl;PHP;Python;SQL;TypeScript,Assembly;C#;C++;HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript,Cordova;Flutter;Node.js,Cordova;Flutter;Node.js,Github;Stack Overflow for Teams,Github;Stack Overflow for Teams,,,,,,,,,,,,,,,Windows,,Google Cloud Platform;Linux;Windows,Android;Windows,,,,,,,,,,,Angular;Django,Angular,,,,
61535,I am a developer by profession,No,23.0,19,,,,Ethiopia,Ethiopian birr,ETB,MySQL,Microsoft SQL Server;MySQL,"Developer, back-end;Developer, front-end;Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",Black or of African descent,Man,"Languages, frameworks, and other technologies I’d be working with;How widely used or impactful my work output would be;Opportunities for professional development",Very satisfied,I am not interested in new job opportunities,C++;HTML/CSS;JavaScript;PHP;Python;SQL,C++;HTML/CSS;Java;JavaScript;PHP;SQL;VBA,Flutter;Node.js,,Github,Github,No,Not at all important,Very important,Better compensation;Wanting to work with new technologies;Growth or leadership opportunities;Looking to relocate,"Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company;Directly asking current or past employees at the company",,Not sure,Yes,No,Never,Read ratings or reviews on third party sites like G2Crowd,Annoyed,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Do other work and come back later,Linux-based,2 to 9 employees,Linux,Linux,,Straight / Heterosexual,Yes,"No, not really",Less than once per month or monthly,A few times per month or weekly,Easy,Appropriate in length,No,"Information systems, information technology, or system administration",Laravel;Vue.js,Laravel;Vue.js,Not applicable - I did not use Stack Overflow last year,28.0,4,2
62020,I am a student who is learning to code,Yes,23.0,16,,,,Ethiopia,,,MySQL;Oracle;SQLite,MySQL,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Student,,Man,How widely used or impactful my work output would be;Office environment or company culture;Opportunities for professional development,,"I’m not actively looking, but I am open to new opportunities",Bash/Shell/PowerShell;C;C#;C++;Dart;Go;Haskell;JavaScript;Objective-C;Perl;PHP;Python;SQL;Swift;TypeScript;VBA,Assembly;C;C#;C++;HTML/CSS;Java;JavaScript;PHP;SQL,.NET Core;Node.js;Xamarin,.NET;.NET Core,Github;Slack,Github;Slack,,,,,,Every few months,Not sure,,No,,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,Windows,,Android;Arduino;Linux;MacOS;Microsoft Azure;Raspberry Pi;Windows;WordPress,Android;Arduino;Linux;Windows;WordPress,,Straight / Heterosexual,Not sure/can't remember,Neutral,,Daily or almost daily,Neither easy nor difficult,Appropriate in length,No,,,,Just as welcome now as I felt last year,,7,
62832,I am a student who is learning to code,Yes,20.0,17,,,,Ethiopia,,,Firebase;MongoDB;Oracle;PostgreSQL,Firebase;Microsoft SQL Server;MySQL;SQLite,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Student,Black or of African descent,Man,Diversity of the company or organization;Financial performance or funding status of the company or organization;How widely used or impactful my work output would be,,"I’m not actively looking, but I am open to new opportunities",C;C++;Dart;Go;Kotlin;Perl;Python;Ruby;Rust;TypeScript,Assembly;Bash/Shell/PowerShell;C;C#;C++;Dart;HTML/CSS;Java;JavaScript;PHP;Python;SQL,Apache Spark;Flutter;Keras;Node.js;Pandas;React Native;TensorFlow;Torch/PyTorch,Flutter,"Github;Gitlab;Google Suite (Docs, Meet, etc);Stack Overflow for Teams",Github,,,,,,Every few months,Yes,,Yes,,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Play games;Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later;Visit another developer community (please name):,Linux-based,,Android;AWS;Docker;Kubernetes,Android;Arduino;Heroku;WordPress,,Straight / Heterosexual,Yes,"No, not really",I have never participated in Q&A on Stack Overflow,A few times per week,Neither easy nor difficult,Appropriate in length,No,"Information systems, information technology, or system administration",Angular;Django;React.js;Ruby on Rails;Spring;Vue.js,Angular;jQuery;Laravel,Just as welcome now as I felt last year,,3,
63017,I am a developer by profession,No,29.0,18,,,,Ethiopia,Ethiopian birr,ETB,DynamoDB,DynamoDB,"Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, front-end;Developer, full-stack;Developer, mobile","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Black or of African descent,Man,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Remote work options",Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",HTML/CSS;JavaScript;Python;TypeScript,HTML/CSS;JavaScript;Python,Node.js,Node.js,"Github;Google Suite (Docs, Meet, etc)","Github;Slack;Google Suite (Docs, Meet, etc)",No,Extremely important,Fairly important,Wanting to share accomplishments with a wider network;Better compensation;Trouble with leadership at my company;Wanting to work with new technologies,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company;Directly asking current or past employees at the company",Every few months,No,No,Yes,Often: 1-2 days per week or more,Start a free trial;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd;Research companies that have advertised on sites I visit,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Visit Stack Overflow;Go for a walk or other physical activity,Windows,2 to 9 employees,AWS;Docker;Kubernetes,AWS;Docker,I have some influence,Straight / Heterosexual,Yes,"Yes, somewhat",Less than once per month or monthly,Multiple times per day,Easy,Too long,No,"Another engineering discipline (such as civil, electrical, mechanical, etc.)",React.js;Vue.js,Vue.js,Somewhat more welcome now than last year,56.0,11,6
63032,I am a developer by profession,Yes,,8,,,,Ethiopia,,,,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Student,,,Industry that I’d be working in;Diversity of the company or organization;Remote work options,,I am actively looking for a job,,,,,,,,,,Better compensation;Better work/life balance;Looking to relocate,"Read company media, such as employee blogs or company culture videos;Directly asking current or past employees at the company",,,,No,,,,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),,,,,,,,Yes,Neutral,I have never participated in Q&A on Stack Overflow,Multiple times per day,,,,,,,,,8,
65051,I am a student who is learning to code,Yes,,,,,,Ethiopia,,,,,,,Student,,,,,,,,,,,,,,,,,,,,No,,,,Stack Overflow (public Q&A for anyone who codes),,,,,,,,Not sure/can't remember,Neutral,,Daily or almost daily,,,,,,,A lot more welcome now than last year,,,
65531,I am a student who is learning to code,Yes,,,,,,Ethiopia,,,,,,,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65637,I am a student who is learning to code,Yes,,,,,,Ethiopia,,,,,,,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
